,Total Return [%],Win Rate [%],Expectancy
ZROBTC,-92.17,16.49,-0.16
XLMBTC,-93.89,11.07,-0.17
CFXBTC,-87.03,18.43,-0.3
GRTBTC,-89.14,14.03,-0.27
NEOBTC,-91.24,12.39,-0.17
AVAXBTC,-90.46,15.74,-0.16
WBTCBTC,-93.7,0.0,-0.14
SUIBTC,-88.59,17.91,-0.17
NEARBTC,-91.77,15.29,-0.16
RAREBTC,-84.92,10.43,-0.52
SBTC,-74.3,26.27,-0.16
TIABTC,-89.16,17.48,-0.16
COTIBTC,-92.29,13.04,-0.33
STXBTC,-91.33,14.56,-0.16
XRPBTC,-89.63,13.7,-0.16
CRVBTC,-91.61,16.07,-0.16
ARBBTC,-90.83,17.47,-0.16
CAKEBTC,-83.35,18.59,-0.15
FETBTC,-93.16,14.58,-0.16
AXSBTC,-91.58,14.49,-0.16
UNIBTC,-92.53,13.55,-0.16
TRXBTC,-99.7,5.49,-0.11
LAYERBTC,-78.55,20.56,-0.24
SOLBTC,-90.89,14.41,-0.16
ATOMBTC,-93.43,12.46,-0.16
BNBBTC,-86.67,12.64,-0.16
LTCBTC,-87.81,17.72,-0.16
ICPBTC,-94.53,13.47,-0.16
LINKBTC,-92.48,14.21,-0.17
RUNEBTC,-76.71,19.31,-0.15
DOTBTC,-92.24,13.02,-0.16
THETABTC,-91.2,15.66,-0.17
ALGOBTC,-93.51,12.57,-0.17
ARKMBTC,-93.01,19.28,-0.17
PAXGBTC,-92.38,9.17,-0.16
QNTBTC,-92.3,15.36,-0.16
STRAXBTC,-71.24,13.27,-0.73
SUSHIBTC,-89.81,17.75,-0.16
INJBTC,-92.12,17.19,-0.16
ENABTC,-95.07,16.43,-0.17
MKRBTC,-83.6,16.88,-0.15
BCHBTC,-89.76,13.81,-0.16
RENDERBTC,-92.65,16.15,-0.17
ZECBTC,-92.91,15.74,-0.17
TONBTC,-92.25,10.53,-0.16
ETHBTC,-89.51,8.57,-0.16
PENDLEBTC,-79.9,19.63,-0.18
WLDBTC,-93.93,13.95,-0.16
HBARBTC,-98.11,13.51,-0.15
WIFBTC,-96.27,19.39,-0.16
AAVEBTC,-92.6,14.47,-0.17
NEXOBTC,-98.75,5.98,-0.13
VETBTC,-100.0,0.54,-0.14
SANDBTC,-92.9,14.36,-0.16
DOGEBTC,-98.92,5.91,-0.14
EOSBTC,-93.43,12.44,-0.16
AGLDBTC,-82.33,19.58,-0.19
BERABTC,-87.49,21.6,-0.21
ADABTC,-91.89,14.08,-0.16
APTBTC,-90.84,17.38,-0.16
ETCBTC,-91.66,9.53,-0.16
AUCTIONBTC,-80.26,22.71,-0.19
SLFBTC,-91.84,20.43,-0.2
KAVABTC,-82.49,20.88,-0.23
EGLDBTC,-92.53,13.79,-0.16
COMPBTC,-74.5,19.3,-0.26
FILBTC,-92.16,12.71,-0.17
XTZBTC,-91.38,13.26,-0.17
