,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy
ZROBTC,-92.17,-7.43,-92.2,16.49,-0.16
XLMBTC,-93.89,-7.84,-93.89,11.07,-0.17
CFXBTC,-87.03,-5.23,-87.38,18.43,-0.3
GRTBTC,-89.14,-6.32,-89.18,14.03,-0.27
NEOBTC,-91.24,-8.52,-91.6,12.39,-0.17
AVAXBTC,-90.46,-8.89,-90.63,15.74,-0.16
WBTCBTC,-93.7,-23.1,-93.7,0.0,-0.14
SUIBTC,-88.59,-5.53,-88.59,17.91,-0.17
NEARBTC,-91.77,-8.04,-91.77,15.29,-0.16
RAREBTC,-84.92,-3.91,-84.92,10.43,-0.52
SBTC,-74.3,-2.74,-75.66,26.27,-0.16
TIABTC,-89.16,-4.94,-89.69,17.48,-0.16
COTIBTC,-92.29,-4.73,-92.31,13.04,-0.33
STXBTC,-91.33,-8.11,-91.33,14.56,-0.16
XRPBTC,-89.63,-7.14,-89.63,13.7,-0.16
CRVBTC,-91.61,-6.4,-91.7,16.07,-0.16
ARBBTC,-90.83,-7.64,-90.86,17.47,-0.16
CAKEBTC,-83.35,-2.72,-83.35,18.59,-0.15
FETBTC,-93.16,-7.14,-93.17,14.58,-0.16
AXSBTC,-91.58,-9.26,-91.58,14.49,-0.16
UNIBTC,-92.53,-8.73,-92.56,13.55,-0.16
TRXBTC,-99.7,-10.66,-99.7,5.49,-0.11
LAYERBTC,-78.55,-1.92,-86.33,20.56,-0.24
SOLBTC,-90.89,-8.96,-91.01,14.41,-0.16
ATOMBTC,-93.43,-9.15,-93.45,12.46,-0.16
BNBBTC,-86.67,-9.69,-86.67,12.64,-0.16
LTCBTC,-87.81,-5.34,-88.07,17.72,-0.16
ICPBTC,-94.53,-10.6,-94.53,13.47,-0.16
LINKBTC,-92.48,-8.71,-92.48,14.21,-0.17
RUNEBTC,-76.71,-2.42,-79.52,19.31,-0.15
DOTBTC,-92.24,-7.95,-92.25,13.02,-0.16
THETABTC,-91.2,-7.81,-91.62,15.66,-0.17
ALGOBTC,-93.51,-7.32,-93.51,12.57,-0.17
ARKMBTC,-93.01,-5.63,-93.01,19.28,-0.17
PAXGBTC,-92.38,-10.16,-92.38,9.17,-0.16
QNTBTC,-92.3,-7.13,-92.48,15.36,-0.16
STRAXBTC,-71.24,-2.15,-71.52,13.27,-0.73
SUSHIBTC,-89.81,-6.79,-89.83,17.75,-0.16
INJBTC,-92.12,-6.76,-92.12,17.19,-0.16
ENABTC,-95.07,-5.62,-95.1,16.43,-0.17
MKRBTC,-83.6,-4.41,-84.0,16.88,-0.15
BCHBTC,-89.76,-10.41,-90.2,13.81,-0.16
RENDERBTC,-92.65,-7.81,-92.66,16.15,-0.17
ZECBTC,-92.91,-7.02,-93.03,15.74,-0.17
TONBTC,-92.25,-10.02,-92.29,10.53,-0.16
ETHBTC,-89.51,-10.99,-89.57,8.57,-0.16
PENDLEBTC,-79.9,-3.83,-79.9,19.63,-0.18
WLDBTC,-93.93,-7.07,-93.93,13.95,-0.16
HBARBTC,-98.11,-6.59,-98.11,13.51,-0.15
WIFBTC,-96.27,-6.07,-96.41,19.39,-0.16
AAVEBTC,-92.6,-7.93,-92.67,14.47,-0.17
NEXOBTC,-98.75,-12.64,-98.77,5.98,-0.13
VETBTC,-100.0,-12.33,-100.0,0.54,-0.14
SANDBTC,-92.9,-8.98,-92.9,14.36,-0.16
DOGEBTC,-98.92,-9.74,-98.92,5.91,-0.14
EOSBTC,-93.43,-9.62,-93.56,12.44,-0.16
AGLDBTC,-82.33,-3.65,-82.75,19.58,-0.19
BERABTC,-87.49,-2.88,-88.03,21.6,-0.21
ADABTC,-91.89,-7.25,-91.91,14.08,-0.16
APTBTC,-90.84,-6.55,-90.87,17.38,-0.16
ETCBTC,-91.66,-10.81,-91.67,9.53,-0.16
AUCTIONBTC,-80.26,-2.68,-80.58,22.71,-0.19
SLFBTC,-91.84,-3.25,-91.85,20.43,-0.2
KAVABTC,-82.49,-4.24,-83.09,20.88,-0.23
EGLDBTC,-92.53,-8.44,-92.54,13.79,-0.16
COMPBTC,-74.5,-4.39,-74.56,19.3,-0.26
FILBTC,-92.16,-8.25,-92.2,12.71,-0.17
XTZBTC,-91.38,-9.53,-91.38,13.26,-0.17
